,id,listing_url,neighbourhood,neighbourhood_cleansed,latitude,longitude,accommodates,price,review_scores_value,review_scores_location,review_scores_rating,review_scores_accuracy,review_scores_communication,average_rating,price_per_person,rating_category,price_level,price_range
0,17891.0,https://www.airbnb.com/rooms/17891,"Hong Kong Island, Hong Kong",Central & Western,22.28327,114.14988,3,1400,4.66,4.9,4.76,4.73,4.93,4.796,466.67,80,Level 4,"(360.625, 580.0]"
1,72571.0,https://www.airbnb.com/rooms/72571,,Central & Western,22.28463,114.15054,2,577,4.13,4.73,4.22,4.04,4.51,4.325999999999999,288.5,40,Level 3,"(191.75, 360.625]"
2,923017.0,https://www.airbnb.com/rooms/923017,"Prince Edward, Hong Kong",Yau Tsim Mong,22.32579,114.16701,8,1036,4.75,4.86,4.8,4.82,4.85,4.816,129.5,80,Level 2,"(120.0, 191.75]"
3,944283.0,https://www.airbnb.com/rooms/944283,"Central, Hong Kong",Central & Western,22.28457,114.15375,3,930,4.57,4.85,4.62,4.61,4.72,4.6739999999999995,310.0,60,Level 3,"(191.75, 360.625]"
4,956857.0,https://www.airbnb.com/rooms/956857,,Central & Western,22.28324,114.15418,1,351,5.0,5.0,5.0,5.0,5.0,5.0,351.0,100,Level 3,"(191.75, 360.625]"
5,957513.0,https://www.airbnb.com/rooms/957513,,Central & Western,22.28526,114.14737,2,709,4.53,4.78,4.6,4.67,4.78,4.672,354.5,60,Level 3,"(191.75, 360.625]"
6,992390.0,https://www.airbnb.com/rooms/992390,,Central & Western,22.28272,114.15307,3,546,4.47,4.89,4.57,4.65,4.74,4.664,182.0,60,Level 2,"(120.0, 191.75]"
7,1008590.0,https://www.airbnb.com/rooms/1008590,"Tsim Sha Tsui, Hong Kong",Yau Tsim Mong,22.29796,114.17181,1,180,4.4,4.82,4.45,4.44,4.49,4.5200000000000005,180.0,40,Level 2,"(120.0, 191.75]"
8,1016855.0,https://www.airbnb.com/rooms/1016855,,Central & Western,22.28665,114.15054,1,180,3.0,5.0,3.5,3.5,4.5,3.9,180.0,40,Level 2,"(120.0, 191.75]"
9,1022377.0,https://www.airbnb.com/rooms/1022377,"Lantau Island, n/a, Hong Kong",Islands,22.24152,113.97984,3,1057,4.56,4.66,4.63,4.74,4.88,4.693999999999999,352.33,60,Level 3,"(191.75, 360.625]"
10,1033352.0,https://www.airbnb.com/rooms/1033352,,Wan Chai,22.27904,114.18033,1,180,5.0,5.0,5.0,3.0,4.0,4.4,180.0,40,Level 2,"(120.0, 191.75]"
11,1033353.0,https://www.airbnb.com/rooms/1033353,,Wan Chai,22.27761,114.17335,1,180,3.0,4.0,2.0,0.0,2.0,2.2,180.0,20,Level 2,"(120.0, 191.75]"
12,1108132.0,https://www.airbnb.com/rooms/1108132,"Soho, Hong Kong Island, Hong Kong",Central & Western,22.28071,114.15381,2,702,4.61,4.83,4.62,4.7,4.84,4.720000000000001,351.0,60,Level 3,"(191.75, 360.625]"
13,1149491.0,https://www.airbnb.com/rooms/1149491,,Eastern,22.2884,114.199,1,180,5.0,5.0,4.0,1.0,5.0,4.0,180.0,40,Level 2,"(120.0, 191.75]"
14,1165573.0,https://www.airbnb.com/rooms/1165573,"Mid-level, Hong Kong",Central & Western,22.28122,114.15135,2,1013,4.44,4.68,4.53,4.6,4.71,4.5920000000000005,506.5,40,Level 4,"(360.625, 580.0]"
15,1171633.0,https://www.airbnb.com/rooms/1171633,,Central & Western,22.28528,114.15186,1,180,2.0,4.0,2.0,4.5,2.5,3.0,180.0,20,Level 2,"(120.0, 191.75]"
16,1182474.0,https://www.airbnb.com/rooms/1182474,"Mongkok, Kowloon, Hong Kong",Yau Tsim Mong,22.31585,114.16888,2,310,4.82,4.91,4.59,4.74,4.79,4.7700000000000005,155.0,80,Level 2,"(120.0, 191.75]"
17,1187498.0,https://www.airbnb.com/rooms/1187498,,Central & Western,22.28564,114.14785,1,180,3.0,3.5,3.5,2.0,3.5,3.1,180.0,20,Level 2,"(120.0, 191.75]"
18,1226450.0,https://www.airbnb.com/rooms/1226450,"Sheung Wan, Hong Kong",Central & Western,22.28796,114.14945,1,180,3.0,5.0,2.0,3.0,1.0,2.8,180.0,20,Level 2,"(120.0, 191.75]"
19,1229848.0,https://www.airbnb.com/rooms/1229848,"Stanley, Hong Kong",Southern,22.21892,114.21369,4,1000,4.23,5.0,4.47,4.53,4.8,4.606,250.0,60,Level 3,"(191.75, 360.625]"
