,room_type, bathrooms_text ,bedrooms,price
0,Entire home/apt, 1.5 baths ,3,1036
1,Entire home/apt, 1 bath ,2,930
2,Private room, 1 bath ,1,351
3,Entire home/apt, 1 bath ,1,709
4,Shared room, 8 shared baths ,1,180
5,Private room, 1 bath ,1,180
6,Entire home/apt, 1 bath ,1,1057
7,Private room, 1 bath ,1,180
8,Private room,,1,180
9,Private room, 1 bath ,1,180
10,Private room,,1,180
11,Entire home/apt, 1 bath ,1,702
12,Private room, 1 shared bath ,1,180
13,Private room,,1,180
14,Private room, 1 shared bath ,1,180
15,Private room, 1 shared bath ,1,180
16,Private room,,1,180
17,Entire home/apt, 1 bath ,1,1013
18,Private room, 1 bath ,1,180
19,Private room, 1 bath ,1,180
20,Private room,,1,180
21,Private room, 1 bath ,1,217
22,Private room,,1,180
23,Private room, 1 shared bath ,1,180
24,Private room,,1,180
25,Entire home/apt, 1 bath ,1,1000
26,Private room, 1 shared bath ,1,620
27,Entire home/apt, 1 bath ,1,564
28,Private room, 1 bath ,1,750
29,Entire home/apt, 1 bath ,1,1094
30,Entire home/apt, 1 bath ,1,800
31,Entire home/apt, 2 baths ,3,2000
32,Entire home/apt, 3 baths ,3,2323
33,Private room, 1.5 baths ,1,2000
34,Private room, 1.5 baths ,1,1000
35,Entire home/apt, 1 bath ,1,600
36,Entire home/apt, 2.5 baths ,4,4677
37,Private room, 1 bath ,1,217
38,Private room, 1 bath ,1,180
39,Entire home/apt, 2 baths ,3,1800
40,Private room, 1 bath ,1,180
41,Private room, 1 bath ,1,180
42,Entire home/apt, 1 bath ,2,1200
43,Private room, 1 bath ,1,180
44,Entire home/apt, 1 bath ,2,835
45,Private room, 1 private bath ,1,800
46,Private room, 1 private bath ,1,850
47,Private room, 1 private bath ,1,950
48,Private room, 1 bath ,1,217
49,Entire home/apt, 1 bath ,1,1949
50,Private room, 1 private bath ,1,297
51,Private room, 1 shared bath ,1,180
52,Entire home/apt, 1 bath ,2,2838
53,Private room, 1 shared bath ,1,650
54,Private room, 1 bath ,1,900
55,Private room, 1 bath ,1,180
56,Entire home/apt, 1 bath ,1,1800
57,Entire home/apt, 1 bath ,2,580
58,Private room, 1 bath ,1,180
59,Private room, 1 bath ,1,180
60,Entire home/apt, 1 bath ,1,283
61,Private room, 1 bath ,1,217
62,Entire home/apt, 1 bath ,2,499
