room_type,bathrooms_text,bedrooms,price
Entire home/apt,1 bath,,"$1,400.00"
Entire home/apt,1 bath,,$577.00
Entire home/apt,1.5 baths,3.0,"$1,036.00"
Entire home/apt,1 bath,2.0,$930.00
Private room,1 bath,1.0,$351.00
Entire home/apt,1 bath,1.0,$709.00
Entire home/apt,1 bath,,$546.00
Shared room,8 shared baths,1.0,$180.00
Private room,1 bath,1.0,$180.00
Entire home/apt,1 bath,1.0,"$1,057.00"
Private room,1 bath,1.0,$180.00
Private room,,1.0,$180.00
Private room,1 bath,1.0,$180.00
Private room,,1.0,$180.00
Entire home/apt,1 bath,1.0,$702.00
Private room,1 shared bath,1.0,$180.00
Private room,,1.0,$180.00
Private room,1 shared bath,1.0,$180.00
Private room,1 shared bath,1.0,$180.00
Private room,,1.0,$180.00
Entire home/apt,1 bath,1.0,"$1,013.00"
Private room,1 bath,1.0,$180.00
Private room,1 private bath,,$310.00
Private room,1 bath,1.0,$180.00
Private room,,1.0,$180.00
Private room,1 bath,1.0,$217.00
Private room,,1.0,$180.00
Private room,1 shared bath,1.0,$180.00
Private room,,1.0,$180.00
Entire home/apt,1 bath,1.0,"$1,000.00"
Private room,1 shared bath,1.0,$620.00
Entire home/apt,1 bath,1.0,$564.00
Private room,1 bath,1.0,$750.00
Entire home/apt,1 bath,1.0,"$1,094.00"
Entire home/apt,1 bath,1.0,$800.00
Entire home/apt,2 baths,3.0,"$2,000.00"
Entire home/apt,3 baths,3.0,"$2,323.00"
Entire home/apt,1 bath,,$960.00
Private room,1.5 baths,1.0,"$2,000.00"
Private room,1 private bath,,"$1,286.00"
Entire home/apt,1 bath,,$716.00
Private room,1.5 baths,1.0,"$1,000.00"
Entire home/apt,1 bath,1.0,$600.00
Entire home/apt,2.5 baths,4.0,"$4,677.00"
Private room,1 bath,1.0,$217.00
Private room,1 bath,1.0,$180.00
Entire home/apt,1 bath,,$647.00
Entire home/apt,2 baths,3.0,"$1,800.00"
Private room,1 bath,1.0,$180.00
Private room,1 bath,1.0,$180.00
Entire home/apt,1 bath,2.0,"$1,200.00"
Private room,1 bath,1.0,$180.00
Entire home/apt,1 bath,2.0,$835.00
Private room,1 private bath,1.0,$800.00
Private room,1 private bath,1.0,$850.00
Private room,1 private bath,1.0,$950.00
Private room,1 bath,1.0,$217.00
Entire home/apt,1 bath,1.0,"$1,949.00"
Private room,1 private bath,1.0,$297.00
Private room,1 shared bath,1.0,$180.00
Entire home/apt,1 bath,2.0,"$2,838.00"
Private room,1 shared bath,1.0,$650.00
Private room,1 bath,1.0,$900.00
Private room,1 bath,1.0,$180.00
Entire home/apt,1 bath,1.0,"$1,800.00"
Entire home/apt,1 bath,2.0,$580.00
Private room,1 bath,1.0,$180.00
Private room,1 bath,1.0,$180.00
Entire home/apt,1 bath,1.0,$283.00
Private room,1 bath,1.0,$217.00
Entire home/apt,1 bath,2.0,$499.00
Entire home/apt,2 baths,3.0,"$1,014.00"
Entire home/apt,1 bath,2.0,$464.00
Private room,1 bath,1.0,$180.00
Entire home/apt,1 bath,2.0,"$2,000.00"
Private room,1 bath,1.0,$180.00
Private room,1 shared bath,1.0,$180.00
Private room,2 baths,2.0,$500.00
Private room,1.5 shared baths,1.0,$280.00
Entire home/apt,1 bath,2.0,$857.00
Entire home/apt,1.5 baths,1.0,"$3,046.00"
Private room,1 bath,1.0,$700.00
Private room,1 bath,1.0,"$1,210.00"
Private room,1 bath,1.0,$968.00
Entire home/apt,1 bath,,$378.00
Private room,1 bath,1.0,$180.00
Entire home/apt,1 bath,,$333.00
Entire home/apt,1 bath,,$468.00
Private room,1 bath,1.0,"$1,323.00"
Private room,1 shared bath,1.0,$180.00
Private room,1 bath,1.0,$180.00
Private room,1 bath,1.0,$180.00
Private room,1 bath,1.0,$180.00
Private room,1 private bath,1.0,$480.00
Private room,1 bath,1.0,$130.00
Private room,1 shared bath,1.0,$180.00
Private room,1 bath,1.0,$180.00
Private room,1 bath,1.0,$180.00
Private room,1 private bath,1.0,$350.00
Private room,1 private bath,1.0,$600.00
Private room,1 private bath,,$480.00
Entire home/apt,1 bath,2.0,$799.00
Entire home/apt,1 bath,1.0,$531.00
Private room,1 bath,1.0,$238.00
Private room,1.5 baths,1.0,$300.00
Private room,1 private bath,1.0,$600.00
Private room,1 private bath,1.0,$238.00
Private room,1 private bath,1.0,$261.00
Private room,1 bath,1.0,$240.00
Private room,1 bath,1.0,$299.00
Entire home/apt,1.5 baths,1.0,"$3,000.00"
Private room,1 bath,1.0,$240.00
Private room,1 bath,1.0,$259.00
Private room,1 bath,1.0,$238.00
Private room,1 bath,1.0,$285.00
Private room,1 bath,1.0,$240.00
Hotel room,3.5 shared baths,1.0,$236.00
Entire home/apt,1 bath,1.0,$608.00
Private room,1 bath,1.0,$236.00
Private room,1 private bath,1.0,$466.00
Private room,1 shared bath,1.0,$500.00
Entire home/apt,1 bath,,"$1,388.00"
Private room,1.5 baths,1.0,$700.00
Entire home/apt,1 bath,1.0,"$1,299.00"
Private room,1 shared bath,1.0,$800.00
Private room,1 private bath,1.0,$476.00
Private room,1 shared bath,1.0,$641.00
Private room,1 bath,1.0,$635.00
Entire home/apt,1.5 baths,1.0,$250.00
Entire home/apt,1.5 baths,1.0,$250.00
Private room,1 bath,1.0,$364.00
Private room,1 bath,1.0,$883.00
Private room,1 private bath,1.0,$600.00
Private room,1 private bath,1.0,$627.00
Entire home/apt,1 bath,,"$1,250.00"
