amenities,price,minimum_nights,vacation_type
"[""pets allowed"", ""fire pit"", ""refrigerator"", ""outdoor furniture"", ""long term stays allowed"", ""ac - split type ductless system"", ""coffee maker"", ""washer"", ""tv"", ""elevator"", ""kitchen"", ""dedicated workspace"", ""wifi""]","$1,400.00",60,long accomodation
"[""kitchen"", ""long term stays allowed"", ""washer"", ""fire extinguisher"", ""air conditioning"", ""dedicated workspace"", ""wifi"", ""tv with standard cable"", ""heating""]",$577.00,2,short vacation
"[""children\u2019s books and toys"", ""self check-in"", ""carbon monoxide alarm"", ""long term stays allowed"", ""elevator"", ""shampoo"", ""hair dryer"", ""bed linens"", ""free street parking"", ""refrigerator"", ""baby bath"", ""dishes and silverware"", ""dryer"", ""kitchen"", ""smart lock"", ""microwave"", ""window guards"", ""iron"", ""crib"", ""heating"", ""cooking basics"", ""ev charger"", ""hot water"", ""single level home"", ""security cameras on property"", ""essentials"", ""washer"", ""air conditioning"", ""wifi"", ""tv with standard cable"", ""hangers"", ""smoke alarm"", ""fire extinguisher"", ""stove""]","$1,036.00",1,short vacation
"[""carbon monoxide alarm"", ""long term stays allowed"", ""shampoo"", ""hair dryer"", ""bed linens"", ""refrigerator"", ""dishes and silverware"", ""kitchen"", ""host greets you"", ""microwave"", ""iron"", ""cooking basics"", ""heating"", ""hot water"", ""essentials"", ""washer"", ""air conditioning"", ""dedicated workspace"", ""wifi"", ""tv with standard cable"", ""pets allowed"", ""hangers"", ""smoke alarm"", ""extra pillows and blankets"", ""stove""]",$930.00,4,short vacation
"[""carbon monoxide alarm"", ""long term stays allowed"", ""bed linens"", ""40\"" tv"", ""dishes and silverware"", ""kitchen"", ""microwave"", ""cooking basics"", ""free washer \u2013 in unit"", ""hot water kettle"", ""hot water"", ""freezer"", ""essentials"", ""air conditioning"", ""clothing storage: dresser"", ""wifi"", ""wine glasses"", ""lg refrigerator"", ""hangers"", ""smoke alarm"", ""extra pillows and blankets""]",$351.00,13,long vacation
"[""refrigerator"", ""smoke alarm"", ""long term stays allowed"", ""tv"", ""dishes and silverware"", ""kitchen"", ""air conditioning"", ""wifi""]",$709.00,6,short vacation
"[""kitchen"", ""refrigerator"", ""hot water"", ""wifi"", ""hangers"", ""self check-in"", ""smoke alarm"", ""carbon monoxide alarm"", ""essentials"", ""long term stays allowed"", ""coffee maker"", ""washer"", ""shampoo"", ""dishes and silverware"", ""keypad"", ""hair dryer"", ""air conditioning"", ""iron"", ""heating""]",$546.00,2,short vacation
"[""ceiling fan"", ""first aid kit"", ""carbon monoxide alarm"", ""long term stays allowed"", ""elevator"", ""shared patio or balcony"", ""hair dryer"", ""refrigerator"", ""dishes and silverware"", ""kitchen"", ""host greets you"", ""iron"", ""mini fridge"", ""books and reading material"", ""essentials"", ""tv"", ""air conditioning"", ""wifi"", ""hangers"", ""smoke alarm"", ""clothing storage: closet"", ""fire extinguisher""]",$180.00,30,short accomodation
"[""air conditioning"", ""tv"", ""long term stays allowed"", ""kitchen""]",$180.00,30,short accomodation
"[""patio or balcony"", ""kitchen"", ""refrigerator"", ""hot water"", ""hangers"", ""oven"", ""long term stays allowed"", ""essentials"", ""washer"", ""shampoo"", ""tv"", ""dishes and silverware"", ""luggage dropoff allowed"", ""hair dryer"", ""air conditioning"", ""microwave"", ""iron"", ""stove"", ""cooking basics"", ""wifi""]","$1,057.00",2,short vacation
"[""long term stays allowed"", ""elevator"", ""tv"", ""kitchen"", ""air conditioning"", ""wifi""]",$180.00,30,short accomodation
"[""air conditioning"", ""tv"", ""long term stays allowed"", ""kitchen""]",$180.00,31,long accomodation
"[""long term stays allowed"", ""tv"", ""kitchen"", ""air conditioning"", ""wifi""]",$180.00,30,short accomodation
"[""long term stays allowed"", ""dryer"", ""kitchen"", ""air conditioning"", ""wifi"", ""tv with standard cable"", ""heating""]",$180.00,30,short accomodation
"[""long term stays allowed"", ""shampoo"", ""body soap"", ""hair dryer"", ""32\"" hdtv with amazon prime video, apple tv, disney+, hbo max, netflix, premium cable"", ""bed linens"", ""refrigerator"", ""coffee maker"", ""dishes and silverware"", ""dryer"", ""kitchen"", ""microwave"", ""iron"", ""cooking basics"", ""heating"", ""shower gel"", ""mini fridge"", ""hot water kettle"", ""hot water"", ""essentials"", ""laundromat nearby"", ""air conditioning"", ""wifi"", ""wine glasses"", ""hangers"", ""conditioner"", ""oven"", ""extra pillows and blankets"", ""stove""]",$702.00,1,short vacation
"[""long term stays allowed"", ""washer"", ""tv"", ""kitchen"", ""air conditioning"", ""wifi""]",$180.00,29,short accomodation
"[""long term stays allowed"", ""elevator"", ""washer"", ""tv"", ""kitchen"", ""air conditioning"", ""iron"", ""wifi""]",$180.00,60,long accomodation
"[""kitchen"", ""private entrance"", ""lock on bedroom door"", ""smoke alarm"", ""long term stays allowed"", ""washer"", ""tv"", ""fire extinguisher"", ""air conditioning"", ""wifi"", ""host greets you""]",$180.00,30,short accomodation
"[""long term stays allowed"", ""washer"", ""tv"", ""dryer"", ""kitchen"", ""air conditioning"", ""wifi""]",$180.00,29,short accomodation
"[""long term stays allowed"", ""washer"", ""kitchen"", ""air conditioning"", ""wifi"", ""tv with standard cable""]",$180.00,30,short accomodation
"[""self check-in"", ""clothing storage"", ""long term stays allowed"", ""elevator"", ""shampoo"", ""hair dryer"", ""sea view"", ""refrigerator"", ""dishes and silverware"", ""kitchen"", ""smart lock"", ""microwave"", ""sound system"", ""iron"", ""cooking basics"", ""heating"", ""shower gel"", ""hot water"", ""essentials"", ""washer"", ""air conditioning"", ""wifi"", ""city skyline view"", ""tv with standard cable"", ""bathtub"", ""hangers"", ""conditioner"", ""oven"", ""drying rack for clothing"", ""keypad"", ""stove""]","$1,013.00",3,short vacation
"[""long term stays allowed"", ""washer"", ""kitchen"", ""air conditioning"", ""wifi"", ""tv with standard cable""]",$180.00,31,long accomodation
"[""paid parking on premises"", ""private entrance"", ""building staff"", ""hot water"", ""fire extinguisher"", ""hangers"", ""lock on bedroom door"", ""smoke alarm"", ""self check-in"", ""essentials"", ""elevator"", ""shampoo"", ""tv"", ""luggage dropoff allowed"", ""hair dryer"", ""air conditioning"", ""wifi""]",$310.00,2,short vacation
"[""long term stays allowed"", ""elevator"", ""washer"", ""kitchen"", ""air conditioning"", ""wifi""]",$180.00,30,short accomodation
"[""long term stays allowed"", ""elevator"", ""washer"", ""kitchen"", ""air conditioning"", ""wifi"", ""tv with standard cable""]",$180.00,30,short accomodation
"[""air conditioning"", ""wifi"", ""long term stays allowed"", ""heating""]",$217.00,30,short accomodation
"[""long term stays allowed"", ""washer"", ""tv"", ""kitchen"", ""air conditioning"", ""wifi""]",$180.00,30,short accomodation
"[""air conditioning"", ""washer"", ""tv"", ""long term stays allowed""]",$180.00,29,short accomodation
"[""kitchen"", ""private entrance"", ""hot water"", ""lock on bedroom door"", ""smoke alarm"", ""long term stays allowed"", ""essentials"", ""washer"", ""tv"", ""fire extinguisher"", ""air conditioning"", ""wifi"", ""host greets you""]",$180.00,31,long accomodation
"[""long term stays allowed"", ""ac - split type ductless system"", ""shampoo"", ""beach access \u2013 beachfront"", ""hair dryer"", ""bed linens"", ""sea view"", ""refrigerator"", ""bay view"", ""mountain view"", ""coffee maker"", ""dishes and silverware"", ""kitchen"", ""microwave"", ""iron"", ""cooking basics"", ""heating"", ""beach essentials"", ""outdoor furniture"", ""hot water"", ""paid parking off premises"", ""window ac unit"", ""essentials"", ""cleaning available during stay"", ""wifi"", ""tv with standard cable"", ""patio or balcony"", ""bathtub"", ""beach view"", ""hangers"", ""outdoor dining area"", ""extra pillows and blankets"", ""ocean view"", ""bbq grill"", ""stove""]","$1,000.00",30,short accomodation
"[""long term stays allowed"", ""washer"", ""kitchen"", ""air conditioning"", ""wifi""]",$620.00,30,short accomodation
"[""long term stays allowed"", ""elevator"", ""shampoo"", ""air conditioning"", ""host greets you""]",$564.00,2,short vacation
