amenities,quantity
"""air conditioning""",4414
"""long term stays allowed""",4042
"""essentials""",3113
"""hangers""",2939
"""kitchen""",2863
"""hair dryer""",2822
"""elevator""",2604
"""tv""",2598
"""shampoo""",2570
"""iron""",2546
"""wifi""",2441
"""wifi""]",2413
"""washer""",2388
"""hot water""",2101
"""smoke alarm""",1954
"""fire extinguisher""",1500
"""refrigerator""",1432
"""bed linens""",1352
"""dishes and silverware""",1283
"""lock on bedroom door""",1244
"""cooking basics""",1155
"""microwave""",1134
"""private entrance""",1066
"""first aid kit""",995
"""dedicated workspace""",968
"""dryer""",874
"""luggage dropoff allowed""",845
"[""long term stays allowed""",822
"""self check-in""",794
"""carbon monoxide alarm""",758
"""extra pillows and blankets""",707
"[""kitchen""",679
"""hot water kettle""",601
"""heating""",583
"""shower gel""",570
"""stove""]",509
"[""self check-in""",508
"""room-darkening shades""",491
"""dining table""",476
"""cleaning products""",462
"""fire extinguisher""]",457
"""freezer""",414
"""keypad""",401
"[""hot water""",399
"""security cameras on property""",389
"""oven""",389
"""coffee maker""",380
"""smart lock""",354
"""heating""]",349
"""drying rack for clothing""",340
"""paid parking off premises""",340
"""pets allowed""",335
"""ethernet connection""",330
"""bathtub""",325
"""wine glasses""",320
"""body soap""",313
"""host greets you""",311
"""outdoor dining area""",302
"""conditioner""",296
"""gym""",290
"""cleaning available during stay""",286
"""lockbox""",286
"[""lock on bedroom door""",280
"""rice maker""",275
"[""private entrance""",275
"""toaster""",251
"""free washer \u2013 in unit""",236
"""laundromat nearby""",233
"[""hangers""",230
"""smoking allowed""",228
"""outdoor furniture""",226
"""bbq grill""",220
"""tv with standard cable""",217
"""ac - split type ductless system""",214
"""free parking on premises""",213
"""single level home""",208
"""patio or balcony""",206
"""pool""",206
"""window ac unit""",203
"""private patio or balcony""",199
"""building staff""",184
"[""paid parking on premises""",180
"[""pets allowed""",177
"""exercise equipment""",168
"""tv with standard cable""]",167
"""crib""",163
"""city skyline view""",160
"""portable fans""",160
"""books and reading material""",158
"""window guards""",155
"""mini fridge""",148
"""coffee""",144
"""free dryer \u2013 in unit""",142
"""smoking allowed""]",139
"""private living room""",139
"""clothing storage: closet""",138
"""mountain view""",137
"""high chair""",135
"""free street parking""",130
"[""refrigerator""",128
"""host greets you""]",128
"[""fire extinguisher""",128
"""hot tub""",123
"""safe""",123
"""cooking basics""]",122
"""children\u2019s dinnerware""",118
"[""children\u2019s books and toys""",115
"[""air conditioning""",115
"[""first aid kit""",114
"""blender""",114
"""stove""",106
"""clothing storage""",106
"""barbecue utensils""",104
"""sea view""",103
"[""clothing storage""",103
"""harbor view""",102
"""bed linens""]",99
"[""breakfast""",97
"""portable heater""",95
"""waterfront""",95
"""long term stays allowed""]",94
"""bay view""",94
"""shower gel""]",87
"""garden view""",85
"""pack \u2019n play/travel crib""",84
"""baby bath""",82
"[""smoke alarm""",82
"""baking sheet""",82
"""board games""",80
"""ocean view""",79
"""game console""",77
"""dishwasher""",76
"[""building staff""",75
"""clothing storage: wardrobe""",74
"""babysitter recommendations""",70
"""beach access \u2013 beachfront""",68
"""public or shared beach access""",66
"""coffee maker: nespresso""",64
"""pocket wifi""",64
"standard cable""",60
"""central air conditioning""",60
"""backyard""",59
"""electric stove""",58
"""extra pillows and blankets""]",57
"""sound system""",56
"""ceiling fan""",55
"""beach access""",55
"""beach view""",53
"""outlet covers""",52
"""air conditioning""]",50
"""shared pool""",49
"[""indoor fireplace""",49
"""piano""",49
"""washer \u2013\u00a0in unit""",48
"""courtyard view""",47
"""bbq grill""]",46
"""gas stove""",45
"""mosquito net""",44
"""shared patio or balcony""",43
"[""induction stove""",43
"""table corner guards""",42
"[""backyard""",42
"""bluetooth sound system""",41
"""breakfast""",41
"""private backyard \u2013 fully fenced""",40
"""park view""",40
"""shared gym in building""",37
"""outdoor shower""",37
"""ev charger""",35
"netflix""",35
"""hangers""]",35
"""bread maker""",35
"""kitchen""]",34
"[""patio or balcony""",34
"""free dryer \u2013 in building""",34
"""fire pit""",33
"[""long term stays allowed""]",32
"""private hot tub""]",31
"""bidet""",31
"""stainless steel oven""",31
"[""free washer \u2013 in unit""",30
"[""cleaning products""",30
"""hammock""",30
"""dryer \u2013\u00a0in unit""",30
netflix,28
"""pool view""",28
"""free washer \u2013 in building""]",28
"""sound system with bluetooth and aux""",27
"[""carbon monoxide alarm""",26
"""beach essentials""",26
"""40\"" hdtv with netflix",26
"""private hot tub""",26
"""marina view""",26
"""paid parking lot off premises""",26
"[""outdoor shower""",26
"""city skyline view""]",26
"[""hot tub""",25
"""changing table""",25
"[""ceiling fan""",24
"[""mini fridge""",24
"""paid street parking off premises""",24
"""resort access""",24
"""paid parking garage off premises""",24
"""baby safety gates""",24
"""trash compactor""",23
"""heating - split type ductless system""",23
"""pool table""",23
"yoga mat""",22
"""bbq grill: charcoal""",22
"""exercise equipment: yoga mat""",21
"""baking sheet""]",21
"""clothing storage: closet""]",21
"""paid washer \u2013 in building""",20
"""clothing storage: closet and dresser""",20
"""indoor fireplace""",20
"""private gym in building""",20
"""valley view""",20
"""coffee maker: espresso machine""",20
"""paid dryer \u2013 in building""",19
"[""garden view""",19
"[""security cameras on property""",19
"""public or shared beach access \u2013 beachfront""",18
"""hdtv with netflix""",18
disney+,17
"[""essentials""",17
"""dedicated workspace""]",17
"""shared hot tub""",16
"""induction stove""",16
"""bikes""",16
"""radiant heating""",16
"""oven""]",16
"""clothing storage: dresser""",15
"[""free street parking""",15
"""smoke alarm""]",15
"""coffee maker: drip coffee maker""",15
"[""washer""",15
"[""hot water kettle""",15
"""21\"" hdtv with standard cable""]",14
"[""smoking allowed""",14
"""sun loungers""",14
"[""host greets you""",14
"""hdtv""",14
"""drying rack for clothing""]",14
"""central heating""",14
"""paid parking on premises""",13
"""shared sauna""",13
"""lake access""",13
"""free washer \u2013 in building""",12
"""stainless steel gas stove""",12
"""portable air conditioning""",12
"""exercise equipment: free weights",12
"""clothing storage: closet and wardrobe""",12
"""private outdoor kitchen""",12
open specific hours,12
"""ocean view""]",12
"""ping pong table""",12
apple tv,11
"""clothing storage: walk-in closet""",11
"""kayak""",11
"""baby monitor""",11
"""stainless steel electric stove""",11
"""hdtv with netflix",11
"""clothing storage: wardrobe and closet""",11
"[""dove shampoo""",10
"""dove body soap""",10
"[""tv""",10
"""clothing storage: dresser and closet""",10
wardrobe,10
"""record player""",10
"premium cable""",9
"""shared backyard \u2013 fully fenced""",9
"[""resort view""",9
"""panasonic refrigerator""",9
"""crib - always at the listing""",9
"""outdoor kitchen""",9
standard cable,9
"[""electric stove""",9
"""shared gym nearby""",9
"""free dryer""",9
"""game console: ps4""",9
"""hdtv with standard cable""",8
"[""elevator""",8
"""coffee maker: french press""]",8
"""iron""]",8
"""samsung refrigerator""",8
"and dresser""",8
"pour-over coffee""",8
"""washer \u2013\u00a0in building""]",8
"[""wifi""",8
"""bbq grill: gas""",8
hbo max,7
"""keypad""]",7
"""free resort access""",7
"[""exercise equipment: free weights",7
"""shared outdoor pool - available seasonally",7
"""shared backyard""",7
"""beach access""]",7
"""ski-in/ski-out""",7
"""exercise equipment: free weights""",7
"""exercise equipment""]",7
"""panasonic  refrigerator""",7
"""32\"" hdtv""",6
"dvd player""",6
"""dove conditioner""",6
"open specific hours""",6
"and closet""",6
"""kenwood induction stove""",6
"""children\u2019s books and toys for ages 0-2 years old""",6
"""paid crib - available upon request""",6
"chromecast""",6
"""children\u2019s books and toys for ages 0-2 years old and 2-5 years old""",6
chromecast,6
"""free washer""",6
"""crib - available upon request""",6
"""clothing storage: closet",6
"""dryer \u2013 in building""",6
heated,6
"""coffee maker: pour-over coffee""",6
"""clothing storage: dresser",6
"""paid parking lot on premises""",6
"""stainless steel oven""]",6
"""coffee maker: drip coffee maker",6
"""sauna""",6
"""boat slip""",6
"[""pool table""",6
"""game console: nintendo switch""",6
"""50\"" hdtv with netflix""",5
"""private pool""",5
"[""hair dryer""",5
"""children\u2019s books and toys for ages 0-2 years old",5
2-5 years old,5
"and 5-10 years old""",5
"open 24 hours""",5
"""coffee maker: nespresso",5
"""clothing storage: dresser and closet""]",5
"""free washer""]",5
"nespresso""",5
"""shared indoor pool - available all year",5
"lap pool""",5
"""tv with netflix""",5
"""shared backyard \u2013 not fully fenced""",5
"""clothing storage: wardrobe""]",5
"[""shared pool""",5
"""hot tub""]",4
"""clothing storage: walk-in closet and closet""",4
"""river view""",4
"""free parking on premises""]",4
"""hdtv with chromecast""",4
"""standalone high chair - always at the listing""",4
"[""clothing storage: dresser and wardrobe""",4
"[""private pool""",4
"""pack \u2019n play/travel crib - available upon request""",4
amazon prime video,4
"netflix""]",4
"""55\"" hdtv""",4
closet,4
"[""shampoo""",4
"""hdtv with standard cable""]",4
"""paid washer \u2013 in unit""",4
"""stainless steel induction stove""",4
"""hdtv with amazon prime video",4
"""private backyard \u2013 not fully fenced""",4
"""shared outdoor pool - available all year",4
"""bose sound system with bluetooth and aux""",4
"""hitachi refrigerator""",4
"[""private backyard \u2013 not fully fenced""",4
"""42\"" hdtv with standard cable""",4
premium cable,4
"""paid dryer \u2013 in unit""",4
"""paid parking garage on premises""",4
"""children\u2019s books and toys for ages 2-5 years old and 5-10 years old""",4
"""children\u2019s books and toys for ages 5-10 years old""",4
"""coffee maker: espresso machine",4
"""children\u2019s books and toys for ages 5-10 years old and 10+ years old""",4
"""lg refrigerator""",3
"""tv with amazon prime video",3
"""43\"" hdtv""",3
"""aesop body soap""",3
"""clothing storage: wardrobe",3
walk-in closet,3
"""pack \u2019n play/travel crib - always at the listing""",3
"""clothing storage: closet and walk-in closet""",3
"""essentials""]",3
"""sound system with aux""",3
"""42\"" hdtv with netflix",3
"""private hot tub - available all year",3
"""55\"" hdtv with standard cable",3
"""dining table""]",3
"""private backyard""",3
"apple tv""",3
"disney+""",3
"""tefal stainless steel oven""",3
"""42\"" hdtv""",3
"""shared sauna""]",3
"""shared backyard \u2013 not fully fenced""]",3
"""high chair""]",3
"""coffee maker: french press",3
"""lake view""",3
"""shared gym""",3
"""conditioner""]",3
"french press""",3
"[""paid resort access""",3
"""hdtv with standard cable",3
"""children\u2019s books and toys for ages 2-5 years old""",3
"""stainless steel stove""]",3
"""aesop conditioner""",3
"""aesop shampoo""]",3
"""shared pool - available seasonally""",3
"""outdoor dining area""]",3
"""pool""]",3
"[""park view""",3
"espresso machine""",3
"""private sauna""",3
"[""radiant heating""",3
"""game console: nintendo wii""",3
"""\u897f\u9580\u5b50 refrigerator""",3
"""40\"" tv""",2
"""32\"" hdtv with amazon prime video",2
"""32\"" hdtv with standard cable""",2
"amazon prime video""",2
"""by random body soap""",2
"[""window ac unit""",2
"""canal view""",2
"""free parking garage on premises""",2
"""50\"" hdtv with chromecast""",2
"[""coffee""",2
"""55\"" hdtv with netflix",2
"""32\"" hdtv with netflix""",2
"""fortress refrigerator""",2
"""coffee maker: keurig coffee machine""",2
"[""50\"" hdtv with apple tv",2
"""40\"" hdtv with apple tv",2
"""50\"" hdtv with disney+",2
"""55\"" hdtv with netflix""",2
"""fireplace guards""",2
"[""hdtv with standard cable",2
"[""fire pit""",2
"""lux body soap""",2
"""indoor fireplace: electric""",2
"""private outdoor pool - available all year",2
"""other induction stove""",2
lap pool,2
"pool cover""",2
"""42\"" hdtv with netflix""",2
"""32\"" tv""",2
"[""lake access""",2
"""50\"" hdtv with netflix",2
"[""32\"" hdtv""",2
"""22\"" hdtv""",2
"""50\"" tv""",2
"[""free parking on premises""",2
"""private gym nearby""",2
"[""stainless steel electric stove""",2
"""52\"" hdtv with netflix",2
"""32\"" hdtv with chromecast",2
"""wifi \u2013 40 mbps""",2
"[""32\"" hdtv with chromecast",2
"""wifi \u2013 43 mbps""",2
"""german pool induction stove""",2
"""40\"" hdtv""",2
"""coffee maker: french press""",2
"""coffee maker: keurig coffee machine",2
stationary bike,2
"[""sea view""",2
"""clothing storage: wardrobe and walk-in closet""",2
"""wifi \u2013 23 mbps""",2
"""wifi \u2013 32 mbps""]",2
"infinity""",2
"""gym in building""",2
"rooftop""",2
"""siemens stainless steel induction stove""",2
"""50\"" hdtv with chromecast",2
"""dove shampoo""",2
"""wifi \u2013 13 mbps""",2
"""siemens refrigerator""",2
"""65\"" hdtv with disney+",2
"""sonos bluetooth sound system""",2
"[""central heating""",2
"""miele induction stove""",2
"""marshall bluetooth sound system""",2
"""paid resort access""",2
"""mitsubishi refrigerator""]",2
"""natural shampoo""",2
"and wardrobe""",2
"""game console: nintendo switch and ps4""",2
"""mini oven oven""",2
"heated""",2
"""\u897f\u9580\u5b50 oven""",2
"""free residential garage on premises""",2
"""fast wifi \u2013 399 mbps""",2
"""32\"" hdtv with apple tv",2
"""private hot tub - available all year""",2
"""55\"" hdtv with standard cable""]",2
"[""outdoor furniture""",2
infinity,2
"""exercise equipment: stationary bike""",2
"""fast wifi \u2013 57 mbps""",2
"""fast wifi \u2013 79 mbps""",1
"""fast wifi \u2013 76 mbps""",1
"""65\"" hdtv with hbo max",1
hulu,1
"""hdtv with apple tv",1
"""fast wifi \u2013 413 mbps""",1
"""rejoice shampoo""",1
"""bbq grill: charcoal",1
"gas""",1
"[""hdtv with premium cable""",1
"""38\"" hdtv with amazon prime video",1
"""jbl sound system""",1
"""drugstore brand conditioner""",1
"""panasonic stove""",1
"""meadi oven""",1
"""york conditioner""]",1
"""19\"" tv with standard cable""",1
"""depends body soap""",1
"""wifi \u2013 37 mbps""",1
"""kef sound system with bluetooth and aux""",1
"""65\"" hdtv with chromecast",1
"""other electric stove""",1
"[""beach essentials""",1
"""50\"" tv with chromecast""",1
"""sonos sound system""",1
"""tv with apple tv""",1
"""hermes body soap""",1
"""harman / kardon bluetooth sound system""]",1
"""46\"" hdtv with standard cable""",1
"""52\"" hdtv with apple tv""",1
"""fast wifi \u2013 193 mbps""",1
